sample_index,mean_longitude_deg_0,period_days_0,k_0,h_0,inclination_deg_0,longitude_of_ascending_node_deg_0,mass_planet_star_ratio_0,radius_planet_star_ratio_0,mean_longitude_deg_1,period_days_1,k_1,h_1,inclination_deg_1,longitude_of_ascending_node_deg_1,mass_planet_star_ratio_1,radius_planet_star_ratio_1,mean_longitude_deg_2,period_days_2,k_2,h_2,inclination_deg_2,longitude_of_ascending_node_deg_2,mass_planet_star_ratio_2,radius_planet_star_ratio_2,mass_star_m_sun,radius_star_r_sun,BJD2454900+dt
25.0,53.99999999999994,45.15354564349872,-0.0409380384026418,-0.0481093046270529,90.0,0.0,1.0812401976869543e-05,0.07414,213.3904975590748,85.31373763087586,0.0022333412047913,0.0031831172202838,90.0,0.0,1.066908056065116e-05,0.094,290.11475561696443,130.1836328259555,-0.0054177503123213,0.0046027710942718,90.0,0.0,2.52158611885417e-05,0.10141,1.04,0.94,86.98693954054588
26.0,54.0,45.15406892858224,-0.0231900881386163,-0.0273477521613552,90.0,0.0,1.5103272964009547e-05,0.07414,214.8780840841742,85.31074979092604,-0.0009414835104507,-0.0023811525146586,90.0,0.0,1.3044410858164042e-05,0.094,290.83923351485,130.18690417865363,-0.0051397552391679,-0.0002009239372001,90.0,0.0,2.284444437814021e-05,0.10141,1.04,0.94,87.25535785581191
27.0,54.0,45.15325322453253,-0.0548225416484154,-0.0676236108442865,90.0,0.0,3.3904478176353864e-06,0.07414,208.93883626299123,85.31391105672449,0.0325070055025893,-0.008932591658951,90.0,0.0,8.72671512070581e-06,0.094,286.3877106071965,130.1844821659774,0.0217101850127155,-0.0071928103914358,90.0,0.0,1.3428954317239249e-05,0.10141,1.04,0.94,86.76647095135759
28.0,53.99999999999994,45.15400871251977,-0.0224766158951532,-0.040993735872079,90.0,0.0,6.785431165567746e-06,0.07414,214.524240819254,85.3102748411164,0.0021754186207896,-0.0011262680940338,90.0,0.0,1.2858466649419294e-05,0.094,290.4571660165607,130.188345903077,-0.0015864325244309,0.0001874927200508,90.0,0.0,2.0724671660519605e-05,0.10141,1.04,0.94,87.26411565864356
29.0,54.0,45.15414739184565,-0.0259505608252073,-0.0521269678251761,90.0,0.0,1.2135467703312107e-05,0.07414,214.30174474724825,85.3131525006201,0.0024776530584047,-0.0060808272024151,90.0,0.0,9.820956314434393e-06,0.094,290.6400366245374,130.18394715942182,-0.0045692832454175,-0.0037843994287485,90.0,0.0,1.866154842884341e-05,0.10141,1.04,0.94,87.20834857462346
30.0,53.99999999999994,45.15401151022169,-0.0122998010417031,-0.049749510519654,90.0,0.0,1.439986109663881e-05,0.07414,212.4232371631667,85.31354017744061,0.0254535800995917,-0.0461177384568609,90.0,0.0,1.2504627938273684e-05,0.094,288.99047703720265,130.1825719643728,0.0142882370806845,-0.0343573603229103,90.0,0.0,2.49343560498214e-05,0.10141,1.04,0.94,87.41207444495198
31.0,54.0,45.15388005694849,-0.0344598155267919,-0.0575748905675988,90.0,0.0,6.710167169580387e-06,0.07414,213.9689954277597,85.31138673038387,0.0004374069106309,-0.0273156652631412,90.0,0.0,1.0591559273828198e-05,0.094,290.2037942884399,130.1863685295465,-0.003812343717366,-0.0216019488281411,90.0,0.0,2.0445886009772147e-05,0.10141,1.04,0.94,87.07856768136935
32.0,54.00000000000006,45.15392687119222,-0.0204273042291554,-0.0395507722144405,90.0,0.0,2.5460612738337173e-06,0.07414,213.18007704682492,85.31178566486497,0.0149818218198284,-0.0067824479682939,90.0,0.0,1.2298023299339944e-05,0.094,289.4567272940179,130.1864090365089,0.0077702099130756,-0.0036768562974271,90.0,0.0,1.9863661508221243e-05,0.10141,1.04,0.94,87.29412273933124
33.0,54.0,45.15385654764668,-0.0214606055577393,-0.0259949753557022,90.0,0.0,8.528415683703335e-06,0.07414,213.6741564963236,85.3101831937563,0.0103135037288165,-0.0115121213689012,90.0,0.0,1.404592250186879e-05,0.094,289.64505918381644,130.1887236544057,0.0059038282407559,-0.0076919073700394,90.0,0.0,2.363659500402122e-05,0.10141,1.04,0.94,87.28129957589923
34.0,54.00000000000006,45.15384379584977,-0.039040968679617,-0.0473430966490607,90.0,0.0,5.206157151433552e-06,0.07414,213.54390867136212,85.31459342255135,0.0019637472847081,0.0060081220762475,90.0,0.0,1.0507516564586524e-05,0.094,290.24273971997667,130.18369416069353,-0.0059257144574834,0.0070131465567759,90.0,0.0,1.6360087996660308e-05,0.10141,1.04,0.94,87.0142507973041
